"","modelSize","ss","run","modelRun","noIterations","timeSpent"
"elapsed200",2,900,1,1,214,46.4200000000019
"elapsed201",2,900,1,2,226,48.5099999999984
"elapsed202",2,900,1,3,183,44.2799999999988
"elapsed203",2,900,1,4,479,100.940000000002
"elapsed204",2,900,1,5,1977,419.599999999999
"elapsed205",2,900,2,1,370,78.1100000000006
"elapsed206",2,900,2,2,720,151.059999999998
"elapsed207",2,900,2,3,420,88.25
"elapsed208",2,900,2,4,549,115.52
"elapsed209",2,900,2,5,1990,419.310000000001
"elapsed210",2,900,3,1,161,71.5699999999997
"elapsed211",2,900,3,2,198,44.2099999999991
"elapsed212",2,900,3,3,309,73.5699999999997
"elapsed213",2,900,3,4,1122,239.360000000001
"elapsed214",2,900,3,5,583,128.220000000001
"elapsed215",2,900,4,1,2000,419.82
"elapsed216",2,900,4,2,550,117.68
"elapsed217",2,900,4,3,208,44.2599999999984
"elapsed218",2,900,4,4,421,88.3400000000001
"elapsed219",2,900,4,5,1558,333.830000000002
"elapsed220",2,900,5,1,209,44.3100000000013
"elapsed221",2,900,5,2,290,63.1899999999987
"elapsed222",2,900,5,3,1645,346.75
"elapsed223",2,900,5,4,222,48.4599999999991
"elapsed224",2,900,5,5,1184,256.080000000002
"elapsed225",2,1000,1,1,1995,467.189999999999
"elapsed226",2,1000,1,2,204,49.3100000000013
"elapsed227",2,1000,1,3,1381,322.25
"elapsed228",2,1000,1,4,1999,467.169999999998
"elapsed229",2,1000,1,5,221,54.0500000000029
"elapsed230",2,1000,2,1,291,72.6800000000003
"elapsed231",2,1000,2,2,409,98.3899999999994
"elapsed232",2,1000,2,3,211,49.260000000002
"elapsed233",2,1000,2,4,374,98.3199999999997
"elapsed234",2,1000,2,5,664,161.34
"elapsed235",2,1000,3,1,701,163.709999999999
"elapsed236",2,1000,3,2,217,51.5300000000025
"elapsed237",2,1000,3,3,1996,466.949999999997
"elapsed238",2,1000,3,4,1987,467.130000000001
"elapsed239",2,1000,3,5,1370,320.439999999999
"elapsed240",2,1000,4,1,230,53.9400000000023
"elapsed241",2,1000,4,2,579,135.799999999999
"elapsed242",2,1000,4,3,1972,466.950000000001
"elapsed243",2,1000,4,4,391,91.4199999999983
"elapsed244",2,1000,4,5,238,58.5800000000017
"elapsed245",2,1000,5,1,208,49.2999999999993
"elapsed246",2,1000,5,2,716,168.34
"elapsed247",2,1000,5,3,518,121.689999999999
"elapsed248",2,1000,5,4,441,102.93
"elapsed249",2,1000,5,5,208,49.3300000000017
